a0,b0,b1,b2,b3,b4,b5,b6
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFMd4bzUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFA31IxUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrzUfJQUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFFlufDUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFYajwWUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFwqZj3UCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFYKWuxUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrfJF55UCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrR5-jyUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrxdbM7UCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFwEXhuUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFoB5bLUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrS3afoUCa0xDrUUUUj,STARTTLS,8BITMIME
